urn:udson:pearson.com/xl/highered:user/20440034,14,1120,14
urn:udson:pearson.com/xl/highered:user/19232925,0.8,112,2
urn:udson:pearson.com/xl/highered:user/21569691,1.83333,2288,4
urn:udson:pearson.com/xl/highered:user/21431981,21,2767,15
urn:udson:pearson.com/xl/highered:user/20064168,35.66667,17702,43
urn:udson:pearson.com/xl/highered:user/19972389,12,935,9
urn:udson:pearson.com/xl/highered:user/20386894,,285,4
urn:udson:pearson.com/xl/highered:user/20097534,19.75,6993,10
urn:udson:pearson.com/xl/highered:user/20051591,1,0,1
urn:udson:pearson.com/xl/highered:user/20002062,15.3,506,17
urn:udson:pearson.com/xl/highered:user/21594126,8,888,8
urn:udson:pearson.com/xl/highered:user/20658031,17,6780,17
urn:udson:pearson.com/xl/highered:user/21531754,3,328,3
urn:udson:pearson.com/xl/highered:user/21013415,3.5,825,7
urn:udson:pearson.com/xl/highered:user/20401111,79,5786,7
urn:udson:pearson.com/xl/highered:user/19929909,12,897,15
urn:udson:pearson.com/xl/highered:user/19942807,25,0,0
urn:udson:pearson.com/xl/highered:user/20445928,22,2633,23
urn:udson:pearson.com/xl/highered:user/20964647,4,7,4
urn:udson:pearson.com/xl/highered:user/17749039,7,390,7
urn:udson:pearson.com/xl/highered:user/21559915,6,121,6
urn:udson:pearson.com/xl/highered:user/19814575,7,3166,14
urn:udson:pearson.com/xl/highered:user/20763933,16,1616,6
urn:udson:pearson.com/xl/highered:user/20651403,37,1525,19
urn:udson:pearson.com/xl/highered:user/21509338,1,395,4
urn:udson:pearson.com/xl/highered:user/20776842,4,618,5
urn:udson:pearson.com/xl/highered:user/20256823,16,2853,19
urn:udson:pearson.com/xl/highered:user/20628306,40,5972,49
urn:udson:pearson.com/xl/highered:user/21603225,10,1231,12
urn:udson:pearson.com/xl/highered:user/20723134,4,67,4
urn:udson:pearson.com/xl/highered:user/21250568,5,7146,5
urn:udson:pearson.com/xl/highered:user/20358128,25,4650,25
urn:udson:pearson.com/xl/highered:user/20210774,12,4287,13
